iter	Passed	Remaining
0	49	49394
1	50	25315
2	52	17357
3	53	13386
4	54	10935
5	56	9298
6	57	8102
7	58	7224
8	59	6555
9	60	6004
10	61	5549
11	62	5172
12	63	4817
13	64	4541
14	65	4319
15	66	4116
16	68	3933
17	69	3771
18	70	3620
19	71	3484
20	72	3369
21	73	3263
22	74	3162
23	75	3066
24	76	2979
25	77	2897
26	78	2823
27	79	2756
28	80	2692
29	81	2625
30	82	2568
31	83	2515
32	84	2467
33	85	2423
34	86	2379
35	87	2336
36	88	2296
37	89	2258
38	90	2222
39	91	2188
40	92	2157
41	93	2127
42	94	2098
43	95	2069
44	96	2041
45	97	2023
46	98	2000
47	99	1978
48	100	1956
49	101	1935
50	102	1915
51	104	1896
52	105	1877
53	106	1860
54	107	1842
55	108	1824
56	109	1807
57	110	1789
58	111	1777
59	112	1761
60	113	1745
61	114	1732
62	115	1716
63	116	1701
64	117	1687
65	118	1673
66	119	1660
67	120	1647
68	121	1635
69	122	1624
70	123	1612
71	124	1600
72	125	1588
73	126	1577
74	127	1566
75	127	1556
76	128	1546
77	129	1535
78	130	1526
79	131	1516
80	132	1506
81	133	1498
82	134	1490
83	135	1481
84	136	1472
85	137	1463
86	138	1455
87	139	1447
88	140	1439
89	141	1431
90	142	1424
91	143	1416
92	144	1409
93	145	1401
94	146	1394
95	147	1388
96	148	1381
97	149	1374
98	150	1368
99	151	1362
100	152	1356
101	153	1349
102	154	1343
103	155	1337
104	156	1332
105	157	1326
106	158	1320
107	159	1317
108	160	1311
109	161	1306
110	162	1301
111	163	1295
112	164	1289
113	165	1284
114	166	1279
115	167	1275
116	168	1270
117	169	1265
118	170	1260
119	171	1255
120	172	1250
121	173	1246
122	174	1241
123	175	1236
124	176	1232
125	177	1228
126	178	1225
127	179	1221
128	180	1217
129	181	1213
130	182	1209
131	183	1206
132	184	1202
133	185	1198
134	186	1194
135	187	1191
136	188	1187
137	189	1183
138	190	1179
139	191	1176
140	192	1172
141	193	1169
142	194	1166
143	195	1163
144	196	1160
145	197	1157
146	198	1154
147	199	1150
148	200	1146
149	201	1144
150	202	1141
151	204	1138
152	205	1134
153	206	1131
154	207	1129
155	208	1126
156	209	1122
157	210	1119
158	211	1116
159	211	1111
160	212	1109
161	213	1106
162	214	1103
163	215	1100
164	217	1098
165	218	1095
166	219	1093
167	220	1090
168	221	1087
169	222	1084
170	223	1081
171	224	1078
172	225	1075
173	226	1072
174	226	1070
175	227	1067
176	228	1064
177	229	1061
178	230	1058
179	231	1056
180	232	1053
181	234	1051
182	235	1049
183	236	1047
184	237	1044
185	238	1042
186	239	1039
187	240	1036
188	241	1034
189	241	1031
190	242	1028
191	243	1026
192	244	1024
193	245	1021
194	246	1019
195	247	1016
196	248	1014
197	249	1011
198	250	1008
199	251	1005
200	252	1002
201	253	999
202	253	996
203	254	993
204	255	990
205	256	988
206	257	985
207	257	982
208	258	978
209	259	975
210	260	972
211	260	969
212	261	966
213	262	962
214	262	959
215	263	956
216	264	952
217	264	949
218	265	945
219	265	942
220	266	939
221	267	935
222	267	932
223	268	928
224	268	925
225	269	921
226	269	918
227	270	915
228	270	911
229	271	907
230	271	904
231	272	900
232	272	897
233	273	894
234	273	890
235	273	886
236	274	883
237	274	879
238	275	876
239	275	873
240	276	869
241	276	866
242	276	862
243	277	859
244	277	856
245	278	852
246	278	849
247	278	845
248	279	842
249	279	839
250	280	835
251	280	832
252	280	829
253	281	825
254	281	822
255	281	819
256	282	815
257	282	812
258	282	809
259	283	806
260	283	802
261	283	799
262	284	796
263	284	793
264	284	789
265	285	786
266	285	783
267	285	780
268	286	777
269	286	774
270	286	770
271	286	767
272	287	764
273	287	761
274	287	758
275	287	755
276	288	752
277	288	749
278	288	746
279	288	743
280	289	739
281	289	736
282	289	733
283	289	730
284	290	727
285	290	724
286	290	721
287	290	718
288	291	716
289	291	713
290	291	710
291	291	707
292	291	704
293	292	701
294	292	698
295	292	695
296	292	693
297	293	690
298	293	687
299	293	684
300	293	681
301	293	679
302	294	676
303	294	673
304	294	671
305	294	668
306	294	665
307	295	662
308	295	660
309	295	657
310	295	655
311	295	652
312	296	649
313	296	647
314	296	644
315	296	642
316	296	639
317	297	637
318	297	634
319	297	632
320	297	629
321	297	627
322	298	624
323	298	622
324	298	619
325	298	617
326	298	615
327	299	612
